Comment,Designator,Footprint,LCSC,Quantity
1k,"R1,R5,R6",R_0402_1005Metric,C11702,3
100n,"C11,C12,C13,C14,C15,C16,C5,C6,C7,C9",C_0402_1005Metric,C1525,10
15p,"C2,C3",C_0402_1005Metric,C1548,2
10u,"C1,C17,C4",C_0805_2012Metric,C15850,3
RP2040,U3,RP2040-QFN-56,C2040,1
ABM8-272-T3,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C20625731,1
2.2uF,"C18,C19,C20,C21,C22,C23,C24,C25",C_0603_1608Metric,C23630,8
27,"R3,R4",R_0402_1005Metric,C25100,2
5.1k,"R8,R9",R_0402_1005Metric,C25905,2
NCP1117-3.3_SOT223,U1,SOT-223-3_TabPin2,C26537,1
SK6812MINI-E,"LED1,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED2,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED3,LED30,LED31,LED32,LED33,LED34,LED35,LED36,LED37,LED38,LED39,LED4,LED40,LED41,LED42,LED43,LED44,LED45,LED46,LED47,LED48,LED49,LED5,LED50,LED51,LED52,LED53,LED54,LED55,LED56,LED57,LED58,LED59,LED6,LED60,LED61,LED62,LED63,LED64,LED65,LED66,LED67,LED68,LED69,LED7,LED70,LED71,LED72,LED73,LED74,LED75,LED76,LED77,LED78,LED79,LED8,LED80,LED81,LED82,LED83,LED84,LED85,LED86,LED9",SK6812MINI-E,C5149201,86
1u,"C10,C8",C_0402_1005Metric,C52923,2
USB_C_Receptacle,"J1,SW1",USB-C_SMD-TYPE-C-31-M-12,C7498220,2
D,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D8,D80,D81,D82,D83,D84,D85,D86,D87,D9",D_SOD-123,C81598,87
W25Q128JVS,U2,SOIC-8_5.23x5.23mm_P1.27mm,C97521,1
F4,K5,Hotswap_MX_1.00u,,1
A,K51,Hotswap_MX_1.00u,,1
F,K54,Hotswap_MX_1.00u,,1
""",'",K61,Hotswap_MX_1.00u,,1
C,K66,Hotswap_MX_1.00u,,1
"&,7",K23,Hotswap_MX_1.00u,,1
H,K56,Hotswap_MX_1.00u,,1
Caps Lock,K50,Hotswap_MX_1.75u,,1
Z,K64,Hotswap_MX_1.00u,,1
X,K65,Hotswap_MX_1.00u,,1
V,K67,Hotswap_MX_1.00u,,1
"%,5",K21,Hotswap_MX_1.00u,,1
S,K52,Hotswap_MX_1.00u,,1
Shift,K63,Hotswap_MX_2.25u,,1
Ctrl,K76,Hotswap_MX_1.25u,,1
R,K37,Hotswap_MX_1.00u,,1
Alt,K78,Hotswap_MX_1.25u,,1
Blank,K15,Hotswap_MX_1.00u,,1
Shift,K74,Hotswap_MX_2.75u,,1
Conn_01x04,J2,SSD1306-0.91-OLED-4pin-128x32,,1
Delete,K47,Hotswap_MX_1.00u,,1
MountingHole,H6,MountingHole_3.2mm_M3,,1
Blank,K14,Hotswap_MX_1.00u,,1
MountingHole,H1,MountingHole_3.2mm_M3,,1
F6,K7,Hotswap_MX_1.00u,,1
MountingHole,H10,MountingHole_3.2mm_M3,,1
"@,2",K18,Hotswap_MX_1.00u,,1
"!,1",K17,Hotswap_MX_1.00u,,1
M,K70,Hotswap_MX_1.00u,,1
Esc,K1,Hotswap_MX_1.00u,,1
Y,K39,Hotswap_MX_1.00u,,1
MountingHole,H14,MountingHole_3.2mm_M3,,1
F8,K9,Hotswap_MX_1.00u,,1
P,K43,Hotswap_MX_1.00u,,1
RotaryEncoder_Switch,SW11,encoder,,1
F1,K2,Hotswap_MX_1.00u,,1
"|,\",K46,Hotswap_MX_1.50u,,1
O,K42,Hotswap_MX_1.00u,,1
"_,-",K27,Hotswap_MX_1.00u,,1
MountingHole,H2,MountingHole_3.2mm_M3,,1
"+,=",K28,Hotswap_MX_1.00u,,1
Q,K34,Hotswap_MX_1.00u,,1
E,K36,Hotswap_MX_1.00u,,1
G,K55,Hotswap_MX_1.00u,,1
"),0",K26,Hotswap_MX_1.00u,,1
PgUp,K49,Hotswap_MX_1.00u,,1
"},]",K45,Hotswap_MX_1.00u,,1
Insert,K30,Hotswap_MX_1.00u,,1
I,K41,Hotswap_MX_1.00u,,1
F10,K11,Hotswap_MX_1.00u,,1
Alt,K80,Hotswap_MX_1.25u,,1
F3,K4,Hotswap_MX_1.00u,,1
K,K58,Hotswap_MX_1.00u,,1
MountingHole,H3,MountingHole_3.2mm_M3,,1
F7,K8,Hotswap_MX_1.00u,,1
W,K35,Hotswap_MX_1.00u,,1
">,.",K72,Hotswap_MX_1.00u,,1
F11,K12,Hotswap_MX_1.00u,,1
MountingHole,H5,MountingHole_3.2mm_M3,,1
"~~,`",K16,Hotswap_MX_1.00u,,1
"<,,",K71,Hotswap_MX_1.00u,,1
Home,K31,Hotswap_MX_1.00u,,1
MountingHole,H7,MountingHole_3.2mm_M3,,1
Tab,K33,Hotswap_MX_1.50u,,1
MountingHole,H12,MountingHole_3.2mm_M3,,1
PgDn,K86,Hotswap_MX_1.00u,,1
N,K69,Hotswap_MX_1.00u,,1
MountingHole,H4,MountingHole_3.2mm_M3,,1
F2,K3,Hotswap_MX_1.00u,,1
"^,6",K22,Hotswap_MX_1.00u,,1
F12,K13,Hotswap_MX_1.00u,,1
MountingHole,H9,MountingHole_3.2mm_M3,,1
Backspace,K29,Hotswap_MX_2.00u,,1
"$,4",K20,Hotswap_MX_1.00u,,1
"#,3",K19,Hotswap_MX_1.00u,,1
MountingHole,H11,MountingHole_3.2mm_M3,,1
D,K53,Hotswap_MX_1.00u,,1
"?,/",K73,Hotswap_MX_1.00u,,1
MountingHole,H13,MountingHole_3.2mm_M3,,1
"(,9",K25,Hotswap_MX_1.00u,,1
End,K48,Hotswap_MX_1.00u,,1
Ctrl,K83,Hotswap_MX_1.25u,,1
←,K84,Hotswap_MX_1.00u,,1
J,K57,Hotswap_MX_1.00u,,1
Win,K77,Hotswap_MX_1.25u,,1
Enter,K62,Hotswap_MX_2.25u,,1
Blank,K79,Hotswap_MX_6.25u,,1
":,;",K60,Hotswap_MX_1.00u,,1
↑,K75,Hotswap_MX_1.00u,,1
T,K38,Hotswap_MX_1.00u,,1
F5,K6,Hotswap_MX_1.00u,,1
"{,[",K44,Hotswap_MX_1.00u,,1
B,K68,Hotswap_MX_1.00u,,1
F9,K10,Hotswap_MX_1.00u,,1
Win,K81,Hotswap_MX_1.25u,,1
L,K59,Hotswap_MX_1.00u,,1
Menu,K82,Hotswap_MX_1.25u,,1
U,K40,Hotswap_MX_1.00u,,1
"*,8",K24,Hotswap_MX_1.00u,,1
→,K87,Hotswap_MX_1.00u,,1
MountingHole,H8,MountingHole_3.2mm_M3,,1
↓,K85,Hotswap_MX_1.00u,,1
Jumper_2_Open,JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,,1
Jumper_2_Open,JP2,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,,1
DNF,R2,R_0402_1005Metric,,1
10k,R7,R_0805_2012Metric,,1
10k,R10,R_0805_2012Metric,,1
